M2 (Flu) / GP160 (Jurkat) cellular_component Ontology, dist <= 0				
Label	REF	ID	URL	p-value
UNCLASSIFIED	3127			0
proteasome regulatory particle	22	GO:0005838	http://amigo.geneontology.org/amigo/term/GO:0005838	1.39693712489e-14
macromolecular complex	4810	GO:0032991	http://amigo.geneontology.org/amigo/term/GO:0032991	3.50179497689e-14
proteasome accessory complex	25	GO:0022624	http://amigo.geneontology.org/amigo/term/GO:0022624	4.38716070403e-14
membrane-bounded vesicle	3438	GO:0031988	http://amigo.geneontology.org/amigo/term/GO:0031988	2.06964042333e-13
proteasome complex	77	GO:0000502	http://amigo.geneontology.org/amigo/term/GO:0000502	2.65823483996e-13
cytoplasm	10314	GO:0005737	http://amigo.geneontology.org/amigo/term/GO:0005737	5.70252550508e-13
vesicle	3556	GO:0031982	http://amigo.geneontology.org/amigo/term/GO:0031982	6.36614529798e-13
extracellular exosome	2710	GO:0070062	http://amigo.geneontology.org/amigo/term/GO:0070062	1.00953398866e-12
extracellular membrane-bounded organelle	2710	GO:0065010	http://amigo.geneontology.org/amigo/term/GO:0065010	1.00953398866e-12
extracellular organelle	2723	GO:0043230	http://amigo.geneontology.org/amigo/term/GO:0043230	1.16358138455e-12
extracellular vesicle	2723	GO:1903561	http://amigo.geneontology.org/amigo/term/GO:1903561	1.16358138455e-12
protein complex	4152	GO:0043234	http://amigo.geneontology.org/amigo/term/GO:0043234	1.45007439568e-12
cytoplasmic part	7723	GO:0044444	http://amigo.geneontology.org/amigo/term/GO:0044444	9.18753912888e-12
intracellular organelle part	7672	GO:0044446	http://amigo.geneontology.org/amigo/term/GO:0044446	7.25817807108e-11
organelle part	7880	GO:0044422	http://amigo.geneontology.org/amigo/term/GO:0044422	2.31729368697e-10
extracellular region part	3687	GO:0044421	http://amigo.geneontology.org/amigo/term/GO:0044421	7.65083602086e-09
membrane-bounded organelle	11617	GO:0043227	http://amigo.geneontology.org/amigo/term/GO:0043227	7.7708408329e-09
