"M2 (Flu) / GP160 (Jurkat) biological_process Ontology, dist <= 0","","","",""
"Label","REF","ID","URL","p-value"
"UNCLASSIFIED","4289","","","0"
"mitotic S phase","117","GO:0000084","http://amigo.geneontology.org/amigo/term/GO:0000084","3.42564158143e-12"
"S phase","119","GO:0051320","http://amigo.geneontology.org/amigo/term/GO:0051320","4.18189975547e-12"
"mitotic interphase","131","GO:0051329","http://amigo.geneontology.org/amigo/term/GO:0051329","1.29376173117e-11"
"interphase","133","GO:0051325","http://amigo.geneontology.org/amigo/term/GO:0051325","1.54566782876e-11"
"cell cycle G1/S phase transition","172","GO:0044843","http://amigo.geneontology.org/amigo/term/GO:0044843","3.13343914981e-10"
"G1/S transition of mitotic cell cycle","172","GO:0000082","http://amigo.geneontology.org/amigo/term/GO:0000082","3.13343914981e-10"
"regulation of cellular amine metabolic process","87","GO:0033238","http://amigo.geneontology.org/amigo/term/GO:0033238","3.77016623936e-10"
"mitotic cell cycle phase transition","306","GO:0044772","http://amigo.geneontology.org/amigo/term/GO:0044772","5.55143130965e-10"
"cell cycle phase transition","310","GO:0044770","http://amigo.geneontology.org/amigo/term/GO:0044770","6.60784850168e-10"
"regulation of cellular amino acid metabolic process","65","GO:0006521","http://amigo.geneontology.org/amigo/term/GO:0006521","1.45289916004e-09"
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest","67","GO:0006977","http://amigo.geneontology.org/amigo/term/GO:0006977","1.90073073574e-09"
"signal transduction involved in mitotic G1 DNA damage checkpoint","68","GO:0072431","http://amigo.geneontology.org/amigo/term/GO:0072431","2.16742267607e-09"
"intracellular signal transduction involved in G1 DNA damage checkpoint","68","GO:1902400","http://amigo.geneontology.org/amigo/term/GO:1902400","2.16742267607e-09"
"signal transduction involved in mitotic cell cycle checkpoint","69","GO:0072413","http://amigo.geneontology.org/amigo/term/GO:0072413","2.46672775382e-09"
"signal transduction involved in mitotic DNA integrity checkpoint","69","GO:1902403","http://amigo.geneontology.org/amigo/term/GO:1902403","2.46672775382e-09"
"signal transduction involved in mitotic DNA damage checkpoint","69","GO:1902402","http://amigo.geneontology.org/amigo/term/GO:1902402","2.46672775382e-09"
"signal transduction involved in DNA damage checkpoint","71","GO:0072422","http://amigo.geneontology.org/amigo/term/GO:0072422","3.17714102526e-09"
"signal transduction involved in DNA integrity checkpoint","71","GO:0072401","http://amigo.geneontology.org/amigo/term/GO:0072401","3.17714102526e-09"
"signal transduction involved in cell cycle checkpoint","72","GO:0072395","http://amigo.geneontology.org/amigo/term/GO:0072395","3.59600069646e-09"
"positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition","72","GO:0051437","http://amigo.geneontology.org/amigo/term/GO:0051437","3.59600069646e-09"
"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent","75","GO:0002479","http://amigo.geneontology.org/amigo/term/GO:0002479","5.16091119261e-09"
"mitotic G1 DNA damage checkpoint","77","GO:0031571","http://amigo.geneontology.org/amigo/term/GO:0031571","6.51363251547e-09"
"mitotic G1/S transition checkpoint","78","GO:0044819","http://amigo.geneontology.org/amigo/term/GO:0044819","7.3008592558e-09"
"G1 DNA damage checkpoint","78","GO:0044783","http://amigo.geneontology.org/amigo/term/GO:0044783","7.3008592558e-09"
"mitotic cell cycle phase","294","GO:0098763","http://amigo.geneontology.org/amigo/term/GO:0098763","7.40161879689e-09"
"cell cycle phase","296","GO:0022403","http://amigo.geneontology.org/amigo/term/GO:0022403","8.05230571687e-09"
"antigen processing and presentation of exogenous peptide antigen via MHC class I","79","GO:0042590","http://amigo.geneontology.org/amigo/term/GO:0042590","8.17113111722e-09"
"biological phase","300","GO:0044848","http://amigo.geneontology.org/amigo/term/GO:0044848","9.51343074078e-09"
"negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle","81","GO:0051436","http://amigo.geneontology.org/amigo/term/GO:0051436","1.01914289103e-08"
"proteasome-mediated ubiquitin-dependent protein catabolic process","305","GO:0043161","http://amigo.geneontology.org/amigo/term/GO:0043161","1.16801698292e-08"
"anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process","83","GO:0031145","http://amigo.geneontology.org/amigo/term/GO:0031145","1.26416631242e-08"
"proteasomal protein catabolic process","313","GO:0010498","http://amigo.geneontology.org/amigo/term/GO:0010498","1.6102405679e-08"
"positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process","86","GO:2000060","http://amigo.geneontology.org/amigo/term/GO:2000060","1.72955549695e-08"
"positive regulation of cell cycle arrest","88","GO:0071158","http://amigo.geneontology.org/amigo/term/GO:0071158","2.11847704998e-08"
"negative regulation of ubiquitin-protein transferase activity","88","GO:0051444","http://amigo.geneontology.org/amigo/term/GO:0051444","2.11847704998e-08"
"positive regulation of ubiquitin-protein transferase activity","89","GO:0051443","http://amigo.geneontology.org/amigo/term/GO:0051443","2.3404824068e-08"
"negative regulation of ligase activity","89","GO:0051352","http://amigo.geneontology.org/amigo/term/GO:0051352","2.3404824068e-08"
"DNA damage response, signal transduction by p53 class mediator","90","GO:0030330","http://amigo.geneontology.org/amigo/term/GO:0030330","2.58281614905e-08"
"regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle","91","GO:0051439","http://amigo.geneontology.org/amigo/term/GO:0051439","2.84707564587e-08"
